iteration,gap,bound satisfied?,bound gap,percentage OD satisfying bound,values of OD not satisfying bound
2,9245.085189616779,False,Bound not satisfied,99.76190476190476,"{('8', '24'): np.float64(1.6015255495339515), ('9', '16'): np.float64(2.1862995303309294), ('14', '2'): np.float64(0.0008342723515529123)}"
3,6259.479133693835,False,Bound not satisfied,99.76190476190476,"{('9', '16'): np.float64(0.7494025403908604), ('11', '25'): np.float64(0.11412385393272473), ('14', '2'): np.float64(0.0005035991721182156)}"
4,4715.907155395651,False,Bound not satisfied,99.84126984126985,"{('5', '32'): np.float64(0.9973038806731187), ('14', '2'): np.float64(0.0002430766251946497)}"
5,3781.9616907705536,False,Bound not satisfied,99.92063492063492,"{('5', '32'): np.float64(1.9057410843062828)}"
6,3160.169290478915,False,Bound not satisfied,99.92063492063492,"{('5', '32'): np.float64(1.2140509898547003)}"
7,2718.358487478138,False,Bound not satisfied,99.92063492063492,"{('5', '32'): np.float64(0.7047340523931744)}"
8,2387.948268047857,False,Bound not satisfied,99.92063492063492,"{('5', '32'): np.float64(0.3471915668091461)}"
9,2128.960572813037,False,Bound not satisfied,99.92063492063492,"{('5', '32'): np.float64(0.0903729476731232)}"
10,1920.5599161803566,True,1891.144540542277,100.0,{}
11,1732.1508524349645,True,1705.2749003621855,100.0,{}
12,1561.8897693223073,True,1537.449234617418,100.0,{}
13,1408.1750983803897,True,1385.9633688171516,100.0,{}
14,1269.4175725690436,True,1249.265256330374,100.0,{}
15,1144.1764768100506,True,1125.9417056042523,100.0,{}
16,1031.165188082569,True,1014.70737017446,100.0,{}
17,929.2257696368946,True,914.3947916819853,100.0,{}
18,837.2990066013751,True,823.945010951566,100.0,{}
19,754.4024380130572,True,742.3986124297734,100.0,{}
20,679.6683536431717,True,668.887209287485,100.0,{}
21,612.2964339586268,True,602.6254153207742,100.0,{}
22,551.5680340638961,True,542.9033445365538,100.0,{}
23,496.8359338859885,True,489.07965996786294,100.0,{}
24,447.5164416265812,True,440.57517325524697,100.0,{}
25,403.07518971021756,True,396.8669807218049,100.0,{}
26,363.0380680686216,True,357.48311095137564,100.0,{}
27,326.973531540135,True,321.9976525733374,100.0,{}
28,294.4815161529452,True,290.0263279633736,100.0,{}
29,265.21104020077763,True,261.22247784618264,100.0,{}
30,238.8498607169493,True,235.27342250943698,100.0,{}
31,215.11027330472942,True,211.89716691268836,100.0,{}
32,193.73972938805815,True,190.83941899928388,100.0,{}
33,174.4884536622087,True,171.87089273352655,100.0,{}
34,157.14601125219136,True,154.78486963247394,100.0,{}
35,141.52378484521762,True,139.3949947482867,100.0,{}
36,127.45168940499218,True,125.53328513448288,100.0,{}
37,114.7763681838963,True,113.04833077235267,100.0,{}
38,103.35957016780509,True,101.80366973519295,100.0,{}
39,93.07665048418122,True,91.67632102686386,100.0,{}
40,83.8152663747347,True,82.55546005308773,100.0,{}
41,75.47416289734686,True,74.34122307637395,100.0,{}
42,67.96208558997424,True,66.94362827642615,100.0,{}
43,61.196826347039334,True,60.281602196917554,100.0,{}
44,55.10438298096484,True,54.28210141463693,100.0,{}
45,49.61782247702262,True,48.87932022682676,100.0,{}
46,44.677455511389184,True,44.01397602515522,100.0,{}
47,40.22897892030775,True,39.6326648171481,100.0,{}
48,36.2231861706639,True,35.68728007538676,100.0,{}
49,32.61610541098586,True,32.134488747215705,100.0,{}
50,29.368341167931966,True,28.935258849880658,100.0,{}
51,26.443761946400596,True,26.05443361190227,100.0,{}
52,23.810197999398138,True,23.460347607881914,100.0,{}
53,21.438768858038166,True,21.12448077366265,100.0,{}
54,19.303543252494812,True,19.02114658734227,100.0,{}
55,17.38086320819133,True,17.127211061937402,100.0,{}
56,15.649562387095044,True,15.421839521692355,100.0,{}
57,14.090608602595653,True,13.88626842890826,100.0,{}
58,12.68685988564081,True,12.503599794725583,100.0,{}
59,11.422890615574907,True,11.258615948129476,100.0,{}
60,10.284781754058166,True,10.13761265428376,100.0,{}
61,9.26000759951031,True,9.128248732329435,100.0,{}
62,8.337290080824397,True,8.219405996884015,100.0,{}
63,7.506472351446947,True,7.401081189590266,100.0,{}
64,6.758407440281529,True,6.664263522165916,100.0,{}
65,6.084857966522332,True,6.000837559620827,100.0,{}
66,5.47840578892563,True,5.403495491739443,100.0,{}
67,4.932371636749831,True,4.865656824426861,100.0,{}
68,4.440740628764812,True,4.381400621084621,100.0,{}
69,3.9981234380354826,True,3.9453918859606523,100.0,{}
70,3.599650073345364,True,3.5528187220473395,100.0,{}
71,3.2408791841021998,True,3.1993502383403456,100.0,{}
72,2.9179063460103056,True,2.881096549114663,100.0,{}
73,2.6271111137218845,True,2.5945509744728668,100.0,{}
74,2.365285854762255,True,2.336555176564585,100.0,{}
75,2.129545767498305,True,2.104265305982069,100.0,{}
76,1.9172931514983642,True,1.8951209305063081,100.0,{}
77,1.7261888565852381,True,1.7068178653135055,100.0,{}
78,1.5541265681259022,True,1.537277980726503,100.0,{}
79,1.3992096472169562,True,1.3846320490398731,100.0,{}
80,1.2597317916859792,True,1.2471970075672354,100.0,{}
81,1.1341545575805752,True,1.1234574233126398,100.0,{}
82,1.0211032011489871,True,1.0120488023697287,100.0,{}
83,0.9193246767932535,True,0.911742560782952,100.0,{}
