iteration,gap,bound satisfied?,bound gap,percentage OD satisfying bound,values of OD not satisfying bound
2,86713.15703230618,False,Bound not satisfied,99.43100995732574,"{('6', '3'): np.float64(13.95778988516619), ('6', '15'): np.float64(6.614326423429658), ('6', '16'): np.float64(0.4394117555262957), ('6', '24'): np.float64(0.8323147740981429), ('13', '2'): np.float64(0.05068531342107144), ('14', '2'): np.float64(0.23291213039900427), ('22', '25'): np.float64(3.0719358025595014), ('24', '23'): np.float64(0.010724175492081184)}"
3,56269.999608077036,False,Bound not satisfied,99.71550497866288,"{('6', '3'): np.float64(3.516988570572302), ('6', '15'): np.float64(1.7749928832604986), ('6', '16'): np.float64(0.1237379770239676), ('6', '24'): np.float64(0.27829880979116983)}"
4,42105.707232796965,False,Bound not satisfied,99.6443812233286,"{('6', '3'): np.float64(1.1465316855619676), ('6', '15'): np.float64(0.6574069325041716), ('6', '16'): np.float64(0.049800101730144486), ('6', '23'): np.float64(0.23561029433727843), ('6', '24'): np.float64(0.13283079702197775)}"
5,33626.96242797315,False,Bound not satisfied,99.6443812233286,"{('6', '3'): np.float64(0.12687851546565554), ('6', '15'): np.float64(0.16850087221578391), ('6', '16'): np.float64(0.01701351929830064), ('6', '23'): np.float64(0.26746414215158276), ('6', '24'): np.float64(0.06441072145305837)}"
6,27984.03243601659,False,Bound not satisfied,99.78662873399715,"{('6', '16'): np.float64(0.0003713560231659585), ('6', '23'): np.float64(0.21444377127421432), ('6', '24'): np.float64(0.027763279882690783)}"
7,23959.772638213573,False,Bound not satisfied,99.85775248933145,"{('6', '23'): np.float64(0.1617530222070419), ('6', '24'): np.float64(0.00642275438317208)}"
8,20948.81534232713,False,Bound not satisfied,99.92887624466572,"{('6', '23'): np.float64(0.12028699541539756)}"
9,18609.97670630113,False,Bound not satisfied,99.92887624466572,"{('6', '23'): np.float64(0.08891862171478349)}"
10,16740.748555072994,False,Bound not satisfied,99.92887624466572,"{('6', '23'): np.float64(0.06519021094163413)}"
11,15060.817685245538,False,Bound not satisfied,99.92887624466572,"{('6', '23'): np.float64(0.045212124300884726)}"
12,13550.298739095237,False,Bound not satisfied,99.92887624466572,"{('6', '23'): np.float64(0.028649148136029035)}"
13,12191.160708359812,False,Bound not satisfied,99.92887624466572,"{('6', '23'): np.float64(0.01511101910792978)}"
14,10968.306421936524,False,Bound not satisfied,99.92887624466572,"{('6', '23'): np.float64(0.004201554729066359)}"
15,9868.117490338982,True,1522.8463696533254,100.0,{}
16,8878.646233980218,True,1368.373372974877,100.0,{}
17,7988.901480908439,True,1229.6466644548675,100.0,{}
18,7188.275767633026,True,1105.0490847111112,100.0,{}
19,6467.91166710539,True,993.1315725101765,100.0,{}
20,5819.907091574387,True,892.5953245024532,100.0,{}
21,5236.881762418794,True,802.2759223383697,100.0,{}
22,4712.243557497792,True,721.1291938180824,100.0,{}
23,4240.166189191601,True,648.2186062575353,100.0,{}
24,3815.352587585379,True,582.7040166174838,100.0,{}
25,3433.080880792035,True,523.8316251825706,100.0,{}
26,3089.091350461029,True,470.9249984911881,100.0,{}
27,2779.5783028929395,True,423.37704341702965,100.0,{}
28,2501.1445539741835,True,380.64282826576414,100.0,{}
29,2250.6501772798733,True,342.23315885164857,100.0,{}
30,2025.245183531029,True,307.70882805493665,100.0,{}
31,1822.4143454635137,True,276.6754665726963,100.0,{}
32,1639.9051288769151,True,248.7789306563062,100.0,{}
33,1475.6683984505469,True,223.70116973825128,100.0,{}
34,1327.8735362123982,True,201.15652312127318,100.0,{}
35,1194.8764330766849,True,180.8884004449053,100.0,{}
36,1075.2033844052364,True,162.66630555117013,100.0,{}
37,967.5189829417504,True,146.2831677224541,100.0,{}
38,870.620862005416,True,131.5529481277349,100.0,{}
39,783.4323450413043,True,118.30849274759971,100.0,{}
40,704.979462644547,True,106.39960610369394,100.0,{}
41,634.3815903221796,True,95.69132283939734,100.0,{}
42,570.852358103246,True,86.06235662293564,100.0,{}
43,513.6848421322203,True,77.40370800654819,100.0,{}
44,462.244392737402,True,69.61741480449892,100.0,{}
45,415.9635078159609,True,62.615430275005686,100.0,{}
46,374.31948342519627,True,56.31861592946059,100.0,{}
47,336.84388039568694,True,50.65583716674927,100.0,{}
48,303.1251434253015,True,45.563151159158764,100.0,{}
49,272.78181836970015,True,40.983077515051185,100.0,{}
50,245.47534021533087,True,36.86394322613043,100.0,{}
51,220.90199347436848,True,33.159294286588164,100.0,{}
52,198.790088443311,True,29.827367158562225,100.0,{}
53,178.89680087166727,True,26.830613962688982,100.0,{}
54,160.99418753061795,True,24.135275904006303,100.0,{}
55,144.88273718763188,True,21.711000008308773,100.0,{}
56,130.38338985718158,True,19.53049475065943,100.0,{}
57,117.33487044003178,True,17.569220611546108,100.0,{}
58,105.59215593356417,True,15.805112002835248,100.0,{}
59,95.02455547773114,True,14.218327370443566,100.0,{}
60,85.51437496999888,True,12.791024607274524,100.0,{}
61,76.95633644605722,True,11.507159203628234,100.0,{}
