iteration,gap,bound satisfied?,bound gap,percentage OD satisfying bound,values of OD not satisfying bound
2,86713.15703230618,False,Bound not satisfied,99.85775248933145,"{('6', '16'): np.float64(0.00426699737735059), ('6', '24'): np.float64(0.12095170705438085)}"
3,56269.999608077036,True,48134.51260038495,100.0,{}
4,42105.707232796965,True,35850.698075081906,100.0,{}
5,33626.96242797315,True,28559.905604522504,100.0,{}
6,27984.03243601659,True,23729.725845618406,100.0,{}
7,23959.772638213573,True,20294.22655900855,100.0,{}
8,20948.81534232713,True,17725.71172270273,100.0,{}
9,18609.97670630113,True,15732.915867806216,100.0,{}
10,16740.748555072994,True,14141.895900451098,100.0,{}
11,15060.817685245538,True,12712.420378811448,100.0,{}
12,13550.298739095237,True,11427.979080785179,100.0,{}
13,12191.160708359812,True,10273.76888993547,100.0,{}
14,10968.306421936524,True,9236.513246622973,100.0,{}
15,9868.117490338982,True,8304.301612749021,100.0,{}
16,8878.646233980218,True,7466.446507588301,100.0,{}
17,7988.901480908439,True,6713.356026104659,100.0,{}
18,7188.275767633026,True,6036.420040432164,100.0,{}
19,6467.91166710539,True,5427.908524542993,100.0,{}
20,5819.907091574387,True,4880.880642311617,100.0,{}
21,5236.881762418794,True,4389.103408227909,100.0,{}
22,4712.243557497792,True,3946.978873982087,100.0,{}
23,4240.166189191601,True,3549.478917696151,100.0,{}
24,3815.352587585379,True,3192.0868193194115,100.0,{}
25,3433.080880792035,True,2870.744898459629,100.0,{}
26,3089.091350461029,True,2581.8075719198896,100.0,{}
27,2779.5783028929395,True,2321.999259243043,100.0,{}
28,2501.1445539741835,True,2088.376627073646,100.0,{}
29,2250.6501772798733,True,1878.2947183236058,100.0,{}
30,2025.245183531029,True,1689.37656094693,100.0,{}
31,1822.4143454635137,True,1519.485894418085,100.0,{}
32,1639.9051288769151,True,1366.702690457586,100.0,{}
33,1475.6683984505469,True,1229.3011787482692,100.0,{}
34,1327.8735362123982,True,1105.7301188438912,100.0,{}
35,1194.8764330766849,True,994.5950866243654,100.0,{}
36,1075.2033844052364,True,894.6425678785151,100.0,{}
37,967.5189829417504,True,804.7456732280513,100.0,{}
38,870.620862005416,True,723.8913079338372,100.0,{}
39,783.4323450413043,True,651.168647404089,100.0,{}
40,704.979462644547,True,585.7587846769125,100.0,{}
41,634.3815903221796,True,526.9254299769302,100.0,{}
42,570.852358103246,True,474.0065548212226,100.0,{}
43,513.6848421322203,True,426.40688423144036,100.0,{}
44,462.244392737402,True,383.59115053359807,100.0,{}
45,415.9635078159609,True,345.0780311184568,100.0,{}
46,374.31948342519627,True,310.4347005031427,100.0,{}
47,336.84388039568694,True,279.27193417595237,100.0,{}
48,303.1251434253015,True,251.23970810855852,100.0,{}
49,272.78181836970015,True,226.0232435605236,100.0,{}
50,245.47534021533087,True,203.33945194912013,100.0,{}
51,220.90199347436848,True,182.93373917550105,100.0,{}
52,198.790088443311,True,164.57713294123556,100.0,{}
53,178.89680087166727,True,148.06370030565571,100.0,{}
54,160.99418753061795,True,133.20822607094993,100.0,{}
55,144.88273718763188,True,119.84412557480505,100.0,{}
56,130.38338985718158,True,107.8215681578837,100.0,{}
57,117.33487044003178,True,97.00578998556028,100.0,{}
58,105.59215593356417,True,87.2755770688656,100.0,{}
59,95.02455547773114,True,78.5219012743952,100.0,{}
60,85.51437496999888,True,70.64669385846055,100.0,{}
61,76.95633644605722,True,63.561742629879255,100.0,{}
62,69.25486870498285,True,57.18770025312542,100.0,{}
63,62.32409497132018,True,51.45319246946656,100.0,{}
64,56.086981350632776,True,46.29401614950237,100.0,{}
65,50.47428894299594,True,41.65241811177829,100.0,{}
66,45.42325498946474,True,37.476446559032425,100.0,{}
67,40.877747072566024,True,33.7193678078545,100.0,{}
68,36.78713675668423,True,30.33914172784141,100.0,{}
69,33.10586426877736,True,27.297949971668256,100.0,{}
70,29.793004472950972,True,24.561771675630183,100.0,{}
71,26.811827246702116,True,22.10000184710845,100.0,{}
72,24.128939206366812,True,19.885108138700293,100.0,{}
73,21.71451252536162,True,17.892322142569107,100.0,{}
74,19.541686384642812,True,16.09936172883949,100.0,{}
75,17.586319988658957,True,14.486181302278817,100.0,{}
76,15.826657787727921,True,13.034747167082607,100.0,{}
77,14.243086347198124,True,11.728835472379917,100.0,{}
78,12.81803770611874,True,10.553850466484743,100.0,{}
79,11.535547822565455,True,9.496661016324836,100.0,{}
80,10.381383390523006,True,8.545453554534946,100.0,{}
81,9.34274345935874,True,7.6895998020730865,100.0,{}
82,8.408005361422507,True,6.9195377801449505,100.0,{}
83,7.56683165264053,True,6.226664775220182,100.0,{}
84,6.8098468447437,True,5.603241055312347,100.0,{}
85,6.128592695594517,True,5.042303256727663,100.0,{}
86,5.515486731491196,True,4.537586469091333,100.0,{}
87,4.963708280819859,True,4.083454144661732,100.0,{}
88,4.467124342918535,True,3.674835045267125,100.0,{}
89,4.020219429308181,True,3.3071665200911213,100.0,{}
90,3.618027433985024,True,2.976343477925282,100.0,{}
91,3.2560709937447507,True,2.6786724818874856,100.0,{}
92,2.930327078678709,True,2.4108304521685793,100.0,{}
93,2.6371708508981904,True,2.1698275136941927,100.0,{}
94,2.373357294525155,True,1.9529735726690773,100.0,{}
95,2.1359613793824668,True,1.7578482473541985,100.0,{}
96,1.9223127522558667,True,1.5822738163532317,100.0,{}
97,1.7300331170788832,True,1.4242908813205102,100.0,{}
98,1.556989005466972,True,1.2821364717562087,100.0,{}
99,1.4012605792237434,True,1.1542243463787643,100.0,{}
100,1.26110801130142,True,1.0391272709638626,100.0,{}
101,1.1349735614186431,True,0.9355610740319268,100.0,{}
102,1.0214545215641118,True,0.8423703019269515,100.0,{}
