iteration,gap,bound satisfied?,bound gap,percentage OD satisfying bound,values of OD not satisfying bound
2,9245.085189616779,False,Bound not satisfied,99.92063492063492,"{('14', '2'): np.float64(0.00013592042665997036)}"
3,6259.479133693835,True,36704.03058423857,100.0,{}
4,4715.907155395651,True,27638.093154416303,100.0,{}
5,3781.9616907705536,False,Bound not satisfied,99.92063492063492,"{('5', '32'): np.float64(1.0089379533637395)}"
6,3160.169290478915,True,18569.262766072083,100.0,{}
7,2718.358487478138,True,15971.023290522233,100.0,{}
8,2387.948268047857,True,14012.539454409938,100.0,{}
9,2128.960572813037,True,12482.480436456926,100.0,{}
10,1920.5599161803566,True,11253.965494320313,100.0,{}
11,1732.1508524349645,True,10145.065523480302,100.0,{}
12,1561.8897693223073,True,9144.383666048876,100.0,{}
13,1408.1750983803897,True,8241.577123624573,100.0,{}
14,1269.4175725690436,True,7427.250574039493,100.0,{}
15,1144.1764768100506,True,6692.871780199661,100.0,{}
16,1031.165188082569,True,6030.69891298901,100.0,{}
17,929.2257696368946,True,5433.714519830733,100.0,{}
18,837.2990066013751,True,4895.564026712825,100.0,{}
19,754.4024380130572,True,4410.498082782014,100.0,{}
20,679.6683536431717,True,3973.3186303672333,100.0,{}
21,612.2964339586268,True,3579.328740427854,100.0,{}
22,551.5680340638961,True,3224.2862347945065,100.0,{}
23,496.8359338859885,True,2904.361043458389,100.0,{}
24,447.5164416265812,True,2616.0961712608414,100.0,{}
25,403.07518971021756,True,2356.3720926041938,100.0,{}
26,363.0380680686216,True,2122.3743582447187,100.0,{}
27,326.973531540135,True,1911.5641816397347,100.0,{}
28,294.4815161529452,True,1721.6517689447062,100.0,{}
29,265.21104020077763,True,1550.572162187916,100.0,{}
30,238.8498607169493,True,1396.4633759454655,100.0,{}
31,215.11027330472942,True,1257.6466215353294,100.0,{}
32,193.73972938805815,True,1132.6084277072357,100.0,{}
33,174.4884536622087,True,1019.9844819808901,100.0,{}
34,157.14601125219136,True,918.5450315653961,100.0,{}
35,141.52378484521762,True,827.1816968291454,100.0,{}
36,127.45168940499218,True,744.8955634193294,100.0,{}
37,114.7763681838963,True,670.7864312855966,100.0,{}
38,103.35957016780509,True,604.0431100493295,100.0,{}
39,93.07665048418122,True,543.9346604078744,100.0,{}
40,83.8152663747347,True,489.8024906257186,100.0,{}
41,75.47416289734686,True,441.05322570175986,100.0,{}
42,67.96208558997424,True,397.1522745728467,100.0,{}
43,61.196826347039334,True,357.6180277823711,100.0,{}
44,55.10438298096484,True,322.01662446417106,100.0,{}
45,49.61782247702262,True,289.9572333223257,100.0,{}
46,44.677455511389184,True,261.0877975784732,100.0,{}
47,40.22897892030775,True,235.09119865559322,100.0,{}
48,36.2231861706639,True,211.68179771644816,100.0,{}
49,32.61610541098586,True,190.60231811411467,100.0,{}
50,29.368341167931966,True,171.6210353818678,100.0,{}
51,26.443761946400596,True,154.5292446180955,100.0,{}
52,23.810197999398138,True,139.13897804720787,100.0,{}
53,21.438768858038166,True,125.28094818095185,100.0,{}
54,19.303543252494812,True,112.80269439734853,100.0,{}
55,17.38086320819133,True,101.56691291636957,100.0,{}
56,15.649562387095044,True,91.44995210660636,100.0,{}
57,14.090608602595653,True,82.340456823541,100.0,{}
58,12.68685988564081,True,74.13814707568474,100.0,{}
59,11.422890615574907,True,66.75271775602701,100.0,{}
60,10.284781754058166,True,60.10284747697751,100.0,{}
61,9.26000759951031,True,54.115305684526334,100.0,{}
62,8.337290080824397,True,48.72414378434778,100.0,{}
63,7.506472351446947,True,43.8699846516248,100.0,{}
64,6.758407440281529,True,39.49935757070119,100.0,{}
65,6.084857966522332,True,35.56411240623354,100.0,{}
66,5.47840578892563,True,32.02089171234546,100.0,{}
67,4.932371636749831,True,28.830653997341894,100.0,{}
68,4.440740628764812,True,25.958244359927967,100.0,{}
69,3.9981234380354826,True,23.372007805208412,100.0,{}
70,3.599650073345364,True,21.043460217873655,100.0,{}
71,3.2408791841021998,True,18.94690146477485,100.0,{}
72,2.9179063460103056,True,17.059250904460892,100.0,{}
73,2.6271111137218845,True,15.35968442388497,100.0,{}
74,2.365285854762255,True,13.829464168043534,100.0,{}
75,2.129545767498305,True,12.451720211121408,100.0,{}
76,1.9172931514983642,True,11.211262707926169,100.0,{}
77,1.7261888565852381,True,10.094414633885792,100.0,{}
78,1.5541265681259022,True,9.08886116876007,100.0,{}
79,1.3992096472169562,True,8.183514068697768,100.0,{}
80,1.2597317916859792,True,7.368389535755863,100.0,{}
81,1.1341545575805752,True,6.634498242926999,100.0,{}
82,1.0211032011489871,True,5.973746305680313,100.0,{}
83,0.9193246767932535,True,5.378846111120507,100.0,{}
