iteration,gap,bound satisfied?,bound gap,percentage OD satisfying bound,values of OD not satisfying bound
2,376344.73144705436,False,Bound not satisfied,93.22916666666666,"{('1', '12'): np.float64(0.0004254160823416631), ('1', '13'): np.float64(0.0010635424051483548), ('3', '4'): np.float64(0.00205634580702598), ('3', '9'): np.float64(0.04638697920350519), ('3', '12'): np.float64(0.003265092725288411), ('3', '13'): np.float64(0.0016325468375038696), ('4', '9'): np.float64(0.324654405592458), ('4', '12'): np.float64(0.7414235849223367), ('4', '13'): np.float64(0.7414237617687398), ('4', '24'): np.float64(2.707913355944358), ('5', '9'): np.float64(0.03665693402478692), ('5', '10'): np.float64(14.582811225549133), ('5', '12'): np.float64(0.22221314816050114), ('5', '13'): np.float64(0.2222132053150784), ('5', '15'): np.float64(3.8322763989097486), ('7', '18'): np.float64(0.04649423347043715), ('9', '3'): np.float64(0.0485178578434189), ('9', '4'): np.float64(0.37983358318204563), ('9', '5'): np.float64(0.04298437615956588), ('9', '15'): np.float64(0.4597685797224379), ('10', '5'): np.float64(17.07649540371626), ('11', '14'): np.float64(0.008700130025503862), ('12', '3'): np.float64(0.0034282615447013363), ('12', '4'): np.float64(0.7844124830053488), ('12', '5'): np.float64(0.24761291844563313), ('13', '3'): np.float64(0.0017141312655881821), ('13', '4'): np.float64(0.7844126680471804), ('13', '5'): np.float64(0.24761297663514892), ('14', '9'): np.float64(31.011607645940316), ('14', '11'): np.float64(0.0070953772573049065), ('14', '15'): np.float64(0.008229877144101228), ('14', '19'): np.float64(0.04465575728279307), ('15', '5'): np.float64(4.5307373782805955), ('15', '9'): np.float64(0.4774462181109377), ('16', '18'): np.float64(0.2399299684087121), ('18', '7'): np.float64(0.06126178169657687), ('18', '16'): np.float64(0.2653793786733877), ('21', '1'): np.float64(0.8000223415346204), ('24', '4'): np.float64(4.0927488533362)}"
3,272114.09910058376,False,Bound not satisfied,90.45138888888889,"{('1', '3'): np.float64(0.00025667403674222355), ('1', '12'): np.float64(0.003490246672340037), ('1', '13'): np.float64(0.008725618481639111), ('2', '1'): np.float64(0.0017910133310756705), ('2', '3'): np.float64(0.10409504163624257), ('2', '5'): np.float64(8.812771933739583), ('2', '12'): np.float64(0.10504673599224276), ('2', '13'): np.float64(0.31510118074773397), ('3', '4'): np.float64(0.004096677142297526), ('3', '6'): np.float64(96.22294504523863), ('3', '9'): np.float64(0.04333524256557787), ('3', '12'): np.float64(0.0032593045051119394), ('3', '13'): np.float64(0.0016296527274301804), ('4', '1'): np.float64(0.011979259273139586), ('4', '3'): np.float64(0.004063105721530567), ('4', '5'): np.float64(0.0002605491464788844), ('4', '9'): np.float64(0.2950659455423071), ('4', '12'): np.float64(0.7521684192770308), ('4', '13'): np.float64(0.7521686068004603), ('4', '24'): np.float64(3.52965755062313), ('5', '2'): np.float64(10.779758197774811), ('5', '4'): np.float64(0.00035891014424722397), ('5', '9'): np.float64(0.01436294698393684), ('5', '10'): np.float64(7.131595579591395), ('5', '12'): np.float64(0.24048284612206158), ('5', '13'): np.float64(0.24048296992025364), ('5', '15'): np.float64(2.327032990622069), ('5', '19'): np.float64(0.20167372952676876), ('6', '3'): np.float64(135.1414546630734), ('6', '12'): np.float64(90.40082585582999), ('6', '13'): np.float64(90.28869673573911), ('6', '24'): np.float64(7.399633155775675), ('7', '18'): np.float64(0.04515105680569235), ('9', '3'): np.float64(0.007206888110050297), ('9', '4'): np.float64(0.20356512986507186), ('9', '15'): np.float64(0.3539826301249634), ('12', '1'): np.float64(0.002878815309223234), ('12', '3'): np.float64(0.003428187653467844), ('12', '4'): np.float64(0.7903532553592323), ('12', '5'): np.float64(0.2533805817595214), ('12', '6'): np.float64(65.52663473208187), ('13', '1'): np.float64(0.007197037599636609), ('13', '3'): np.float64(0.001714094319971437), ('13', '4'): np.float64(0.7903534482339217), ('13', '5'): np.float64(0.25338064631274504), ('13', '6'): np.float64(65.52635652015627), ('14', '12'): np.float64(56.917182708542185), ('16', '18'): np.float64(0.32901255831323034), ('17', '1'): np.float64(140.5071858958904), ('18', '7'): np.float64(0.05286486948637697), ('18', '16'): np.float64(0.31058790944670284), ('19', '5'): np.float64(25.599723066728288), ('21', '23'): np.float64(61.67049156640047), ('24', '4'): np.float64(3.20195386378189), ('24', '6'): np.float64(30.96707439873909)}"
4,199780.69578278292,False,Bound not satisfied,89.23611111111111,"{('1', '2'): np.float64(0.0016547922496750102), ('1', '3'): np.float64(0.00020003834860434844), ('1', '12'): np.float64(0.003339576342087806), ('1', '13'): np.float64(0.008348941997696509), ('2', '1'): np.float64(0.0015134877951568978), ('2', '3'): np.float64(0.0799644476289177), ('2', '5'): np.float64(5.305511258889089), ('2', '9'): np.float64(3.7405936799352837), ('2', '12'): np.float64(0.08090172164523066), ('2', '13'): np.float64(0.24261562679340037), ('2', '20'): np.float64(0.6626361328634118), ('3', '1'): np.float64(0.0002168488160184282), ('3', '2'): np.float64(0.08619008860635), ('3', '4'): np.float64(0.0027962845470976758), ('3', '9'): np.float64(0.012540321794199762), ('3', '12'): np.float64(0.003214442178471106), ('3', '13'): np.float64(0.0016072215644249582), ('4', '3'): np.float64(0.0032898211523689318), ('4', '5'): np.float64(0.00010886577363911532), ('4', '9'): np.float64(0.21355073831801252), ('4', '12'): np.float64(0.7385957367236491), ('4', '13'): np.float64(0.7385959999868342), ('5', '9'): np.float64(0.024088658644469407), ('5', '12'): np.float64(0.23303022949579233), ('5', '13'): np.float64(0.23303038016230607), ('6', '18'): np.float64(0.8466418133101357), ('6', '20'): np.float64(0.256298680052673), ('7', '18'): np.float64(0.03155263979452648), ('8', '18'): np.float64(0.9997288444357935), ('9', '3'): np.float64(0.04881475191940764), ('9', '4'): np.float64(0.3125290701987119), ('9', '5'): np.float64(0.0070023955349681755), ('9', '15'): np.float64(0.43434759424910757), ('11', '15'): np.float64(304.7989414357763), ('11', '19'): np.float64(84.16084602555667), ('12', '1'): np.float64(0.0028119832002149615), ('12', '2'): np.float64(0.08695362296269413), ('12', '3'): np.float64(0.0025706434157450383), ('12', '4'): np.float64(0.545752188373041), ('12', '5'): np.float64(0.17814473556664118), ('13', '1'): np.float64(0.007029954456439912), ('13', '2'): np.float64(0.2608370879305918), ('13', '3'): np.float64(0.0012853223783909065), ('13', '4'): np.float64(0.5457544997848303), ('13', '5'): np.float64(0.17814520902249234), ('14', '11'): np.float64(0.0036402998541479638), ('15', '9'): np.float64(0.22809586871405707), ('15', '11'): np.float64(365.2828339212696), ('16', '18'): np.float64(0.29068336783052495), ('18', '6'): np.float64(4.414228298081474), ('18', '7'): np.float64(0.043660550450660765), ('18', '8'): np.float64(12.466452809801496), ('18', '16'): np.float64(0.19757561024881332), ('19', '9'): np.float64(0.5995895501341995), ('19', '11'): np.float64(100.6993708758261), ('20', '2'): np.float64(2.82755743195246), ('20', '6'): np.float64(12.425067483120259), ('20', '8'): np.float64(25.438920731156713), ('23', '1'): np.float64(8.510426940515586), ('23', '3'): np.float64(5.263126354599855), ('23', '22'): np.float64(180.80087283248025), ('24', '1'): np.float64(0.002722015350453827)}"
5,160465.88295914602,False,Bound not satisfied,90.10416666666666,"{('1', '3'): np.float64(0.0003037357610142581), ('1', '4'): np.float64(0.061858573173620965), ('1', '12'): np.float64(0.0030521966542741146), ('1', '13'): np.float64(0.0076304910669072745), ('2', '1'): np.float64(0.0022586125512488787), ('2', '3'): np.float64(0.12181512404075298), ('2', '4'): np.float64(4.423104479479237), ('2', '5'): np.float64(2.3619991337659556), ('2', '12'): np.float64(0.12260835067655715), ('2', '13'): np.float64(0.36780577836721756), ('3', '4'): np.float64(0.004571675751335847), ('3', '5'): np.float64(0.0032120243097960768), ('3', '9'): np.float64(0.04311198645824565), ('3', '12'): np.float64(0.0027037571838963324), ('3', '13'): np.float64(0.0013518791676011557), ('4', '1'): np.float64(0.06811589187570738), ('4', '2'): np.float64(15.346555134844612), ('4', '3'): np.float64(0.0041740075371273265), ('4', '5'): np.float64(0.00024017211040797245), ('4', '9'): np.float64(0.2387079855681868), ('4', '12'): np.float64(0.6106533535449298), ('4', '13'): np.float64(0.6106572151678833), ('4', '24'): np.float64(1.8930266284855388), ('5', '3'): np.float64(0.00626480484510177), ('5', '4'): np.float64(0.0001868271834934434), ('5', '9'): np.float64(0.026586974323491455), ('5', '12'): np.float64(0.2083957381673914), ('5', '13'): np.float64(0.20839607413392922), ('5', '19'): np.float64(0.5177655224258535), ('7', '18'): np.float64(0.04164370123176379), ('9', '3'): np.float64(0.04312957407490966), ('9', '4'): np.float64(0.2501327535837447), ('9', '5'): np.float64(0.014197450679555221), ('9', '15'): np.float64(0.3715191274629788), ('11', '1'): np.float64(15.253778090218233), ('11', '2'): np.float64(9.706141024381376), ('11', '3'): np.float64(10.493118566799573), ('12', '1'): np.float64(0.0028857585838122654), ('12', '3'): np.float64(0.00332915613807386), ('12', '4'): np.float64(0.7624460786499055), ('12', '5'): np.float64(0.2565797177123216), ('13', '1'): np.float64(0.007214396000756844), ('13', '3'): np.float64(0.001664578565023763), ('13', '4'): np.float64(0.7624463694273952), ('13', '5'): np.float64(0.2565797852923663), ('14', '11'): np.float64(0.0057968656466967), ('15', '9'): np.float64(0.3547201793555941), ('16', '2'): np.float64(32.16871508734739), ('16', '6'): np.float64(44.960282909231196), ('16', '8'): np.float64(117.04189780463946), ('16', '18'): np.float64(0.4069983971086145), ('17', '8'): np.float64(23.90402405616402), ('18', '7'): np.float64(0.06252745543099733), ('18', '16'): np.float64(0.339254567533602), ('19', '9'): np.float64(5.9678368063635325), ('24', '1'): np.float64(0.01260834125433966), ('24', '4'): np.float64(2.9690495876237635)}"
6,119813.40002704738,False,Bound not satisfied,89.58333333333334,"{('1', '2'): np.float64(0.0014706704366360844), ('1', '3'): np.float64(0.00010801523647995971), ('1', '12'): np.float64(0.0028942059118159218), ('1', '13'): np.float64(0.007235513394359007), ('2', '1'): np.float64(0.0008262302169389133), ('2', '3'): np.float64(0.04294325684465147), ('2', '5'): np.float64(7.903557148199121), ('2', '9'): np.float64(10.217300464760317), ('2', '10'): np.float64(5.431646414071963), ('2', '12'): np.float64(0.043782248301937596), ('2', '13'): np.float64(0.1311971014011919), ('3', '1'): np.float64(0.00020762430547696827), ('3', '2'): np.float64(0.0848776432878276), ('3', '4'): np.float64(0.0031444708766030748), ('3', '5'): np.float64(0.000392461095079376), ('3', '9'): np.float64(0.02759473470723338), ('3', '12'): np.float64(0.0028561412056635534), ('3', '13'): np.float64(0.0014280711274961646), ('4', '1'): np.float64(0.06840110931078494), ('4', '2'): np.float64(4.121777558092202), ('4', '3'): np.float64(0.00406153219785536), ('4', '8'): np.float64(4.446002604372808), ('4', '9'): np.float64(0.16403048077887125), ('4', '12'): np.float64(0.6507973069693336), ('4', '13'): np.float64(0.6508001852046231), ('4', '24'): np.float64(0.93188792504003), ('5', '2'): np.float64(9.42509604341518), ('5', '3'): np.float64(0.0030040142869751053), ('5', '4'): np.float64(0.0002543657481895062), ('5', '8'): np.float64(5.0401114563201475), ('5', '9'): np.float64(0.018409032592020716), ('5', '12'): np.float64(0.21811731338508394), ('5', '13'): np.float64(0.21811757346899535), ('5', '19'): np.float64(0.15606542451459138), ('7', '18'): np.float64(0.035036029935026206), ('7', '23'): np.float64(7.186881264216542), ('9', '1'): np.float64(0.07084547972547361), ('9', '3'): np.float64(0.04828790383389016), ('9', '4'): np.float64(0.27531589604660006), ('9', '5'): np.float64(0.017692213819444906), ('9', '15'): np.float64(0.2871014013415092), ('12', '1'): np.float64(0.0028968781192389263), ('12', '2'): np.float64(0.0861012576708348), ('12', '3'): np.float64(0.002530122820316748), ('12', '4'): np.float64(0.5642875237564415), ('12', '5'): np.float64(0.18685594602227046), ('13', '1'): np.float64(0.007242192419731811), ('13', '2'): np.float64(0.25826437147968734), ('13', '3'): np.float64(0.0012650621288185524), ('13', '4'): np.float64(0.5642952982921831), ('13', '5'): np.float64(0.18685642945006364), ('15', '11'): np.float64(39.41328813028298), ('16', '18'): np.float64(0.24883114188738842), ('18', '7'): np.float64(0.033559377885619704), ('18', '16'): np.float64(0.28411000530028935), ('18', '23'): np.float64(2.8599737298159837), ('19', '11'): np.float64(6.67612545069818), ('20', '23'): np.float64(15.011077446922997), ('24', '1'): np.float64(0.012953652951874164), ('24', '4'): np.float64(2.4848219613769857)}"
7,101421.69416961572,False,Bound not satisfied,91.49305555555556,"{('1', '2'): np.float64(0.0016598403091417318), ('1', '12'): np.float64(0.0019628384954317206), ('1', '13'): np.float64(0.004907086077514259), ('2', '1'): np.float64(0.00021182704039465977), ('2', '3'): np.float64(0.009384890776591798), ('2', '5'): np.float64(1.6876514346429268), ('2', '9'): np.float64(0.2650365032152493), ('2', '12'): np.float64(0.009977442881535556), ('2', '13'): np.float64(0.029723022091305007), ('3', '1'): np.float64(0.00022169458635041216), ('3', '2'): np.float64(0.08849877225974272), ('3', '4'): np.float64(0.0028187544184409908), ('3', '9'): np.float64(0.02550728222224404), ('3', '12'): np.float64(0.0019784859413978966), ('3', '13'): np.float64(0.0009892439410038828), ('4', '1'): np.float64(0.027892871388754334), ('4', '3'): np.float64(0.0026394950159608272), ('4', '9'): np.float64(0.14884277435210608), ('4', '12'): np.float64(0.4287930272019947), ('4', '13'): np.float64(0.428812744936429), ('4', '24'): np.float64(1.5992706512289354), ('5', '2'): np.float64(7.770213361570699), ('5', '3'): np.float64(0.0012555508856693072), ('5', '4'): np.float64(0.0001492757562058202), ('5', '9'): np.float64(0.016779384556155026), ('5', '12'): np.float64(0.14310058261727254), ('5', '13'): np.float64(0.14310180730937283), ('5', '19'): np.float64(0.11975660100579022), ('7', '18'): np.float64(0.03031305565087477), ('9', '1'): np.float64(0.03666844655341728), ('9', '3'): np.float64(0.018012268511064328), ('9', '4'): np.float64(0.10223534032767731), ('9', '5'): np.float64(0.010512849059448253), ('9', '15'): np.float64(0.061809205953011426), ('12', '1'): np.float64(0.002637260159805339), ('12', '2'): np.float64(0.0892150338373274), ('12', '3'): np.float64(0.002387581502245099), ('12', '4'): np.float64(0.5303589919111303), ('12', '5'): np.float64(0.17461368818184164), ('13', '1'): np.float64(0.006593145202794366), ('13', '2'): np.float64(0.2676089058579648), ('13', '3'): np.float64(0.0011937915454824201), ('13', '4'): np.float64(0.5303710344809733), ('13', '5'): np.float64(0.17461432608098632), ('16', '18'): np.float64(0.2544830569176839), ('18', '7'): np.float64(0.0327818629922371), ('18', '16'): np.float64(0.2450974817682176), ('24', '1'): np.float64(0.009385093082619228), ('24', '4'): np.float64(0.7197354223672874)}"
8,82677.87308007815,False,Bound not satisfied,91.84027777777779,"{('1', '2'): np.float64(0.0009400004090742891), ('1', '12'): np.float64(0.0019154756798049053), ('1', '13'): np.float64(0.004788678486436195), ('2', '1'): np.float64(0.00020305282490664213), ('2', '3'): np.float64(0.009205692200651955), ('2', '5'): np.float64(2.3446680253947463), ('2', '9'): np.float64(2.0016604132985876), ('2', '12'): np.float64(0.009783933529991282), ('2', '13'): np.float64(0.02914954502151601), ('3', '1'): np.float64(0.00012382302423810258), ('3', '2'): np.float64(0.04915300275495972), ('3', '4'): np.float64(0.002328139509438609), ('3', '9'): np.float64(0.01715521183787356), ('3', '12'): np.float64(0.001928285857853847), ('3', '13'): np.float64(0.0009641439381571951), ('4', '1'): np.float64(0.0003490919269764914), ('4', '3'): np.float64(0.002448079306881341), ('4', '9'): np.float64(0.09706139440647929), ('4', '12'): np.float64(0.42119057565285173), ('4', '13'): np.float64(0.42121368987480484), ('4', '24'): np.float64(1.1778176468067725), ('5', '2'): np.float64(3.202684561979874), ('5', '3'): np.float64(0.00037205237752364374), ('5', '9'): np.float64(0.010751876258034351), ('5', '12'): np.float64(0.13968220290366992), ('5', '13'): np.float64(0.13968351547849595), ('7', '18'): np.float64(0.024402164333790968), ('9', '3'): np.float64(0.026397697508263908), ('9', '4'): np.float64(0.14967184688852272), ('9', '5'): np.float64(0.015143266654369662), ('12', '1'): np.float64(0.002083030260495859), ('12', '2'): np.float64(0.04974558554527837), ('12', '3'): np.float64(0.0019501130699598984), ('12', '4'): np.float64(0.4252731195923611), ('12', '5'): np.float64(0.14034169681590508), ('13', '1'): np.float64(0.005207564345769588), ('13', '2'): np.float64(0.14913673397979282), ('13', '3'): np.float64(0.0009750576167466327), ('13', '4'): np.float64(0.42529597630618327), ('13', '5'): np.float64(0.14034283926142294), ('14', '11'): np.float64(0.0006025283654937817), ('16', '18'): np.float64(0.20301970239742217), ('18', '7'): np.float64(0.027044614522810935), ('18', '16'): np.float64(0.18927938443365042), ('20', '7'): np.float64(0.0007335136453052171), ('24', '1'): np.float64(0.008399481423622939), ('24', '4'): np.float64(0.58232033634286)}"
9,72519.7852672252,False,Bound not satisfied,93.05555555555556,"{('1', '2'): np.float64(0.0004696380707246478), ('1', '12'): np.float64(0.0013863590885168807), ('1', '13'): np.float64(0.00346587998204549), ('3', '2'): np.float64(0.023538641416208927), ('3', '4'): np.float64(0.001734555943114573), ('3', '9'): np.float64(0.011759435834395406), ('3', '12'): np.float64(0.0014447853490429242), ('3', '13'): np.float64(0.0007223941116770883), ('4', '3'): np.float64(0.0016906798863135846), ('4', '9'): np.float64(0.06747462154631728), ('4', '12'): np.float64(0.3030964195100848), ('4', '13'): np.float64(0.30313687346607954), ('4', '24'): np.float64(0.4708621670469486), ('5', '9'): np.float64(0.007413489198609149), ('5', '12'): np.float64(0.09974303297144058), ('5', '13'): np.float64(0.0997451798032287), ('7', '18'): np.float64(0.019861950726094476), ('8', '4'): np.float64(8.69097610509674), ('8', '5'): np.float64(7.603431182681254), ('9', '3'): np.float64(0.012847457966537836), ('9', '4'): np.float64(0.07203511415851477), ('9', '5'): np.float64(0.008315951687438195), ('12', '1'): np.float64(0.00161608515413988), ('12', '2'): np.float64(0.02401822630780405), ('12', '3'): np.float64(0.001559574620993577), ('12', '4'): np.float64(0.33046127590176283), ('12', '5'): np.float64(0.10833273581599825), ('13', '1'): np.float64(0.004040195348676409), ('13', '2'): np.float64(0.07191225477695007), ('13', '3'): np.float64(0.0007797887284905529), ('13', '4'): np.float64(0.3304973925748652), ('13', '5'): np.float64(0.1083344777273624), ('16', '18'): np.float64(0.1636459075958358), ('16', '19'): np.float64(13.521240282264387), ('18', '7'): np.float64(0.022395057612091172), ('18', '16'): np.float64(0.14863747855784892), ('20', '7'): np.float64(0.010760347552921351), ('21', '5'): np.float64(11.43409473835856), ('24', '1'): np.float64(0.0065967639806064765), ('24', '4'): np.float64(0.33190419311066366)}"
10,64507.74848399681,False,Bound not satisfied,93.57638888888889,"{('1', '2'): np.float64(0.0001423992830584162), ('1', '12'): np.float64(0.0010738554238418877), ('1', '13'): np.float64(0.002684616088885563), ('3', '2'): np.float64(0.005769801994180451), ('3', '4'): np.float64(0.001266340778815944), ('3', '9'): np.float64(0.00616946549727674), ('3', '12'): np.float64(0.001159797026600563), ('3', '13'): np.float64(0.000579900258179405), ('4', '3'): np.float64(0.001252126543176728), ('4', '9'): np.float64(0.03489542925879746), ('4', '12'): np.float64(0.23594712522093025), ('4', '13'): np.float64(0.23600056272828784), ('4', '24'): np.float64(0.3807903562019357), ('5', '9'): np.float64(0.0036874958740065467), ('5', '12'): np.float64(0.07702674138196006), ('5', '13'): np.float64(0.07702945650880047), ('7', '18'): np.float64(0.015717604353622842), ('9', '3'): np.float64(0.009233514311795789), ('9', '4'): np.float64(0.05178057194935781), ('9', '5'): np.float64(0.006361017278309022), ('12', '1'): np.float64(0.0012332398717453418), ('12', '2'): np.float64(0.006152806576709316), ('12', '3'): np.float64(0.0012286991893941408), ('12', '4'): np.float64(0.25202390360902727), ('12', '5'): np.float64(0.08205741654711601), ('13', '1'): np.float64(0.0030830762644348027), ('13', '2'): np.float64(0.01828693487590305), ('13', '3'): np.float64(0.0006143513461676817), ('13', '4'): np.float64(0.2520734246408336), ('13', '5'): np.float64(0.0820597465799657), ('16', '18'): np.float64(0.12293577300999642), ('18', '7'): np.float64(0.017712747917237953), ('18', '16'): np.float64(0.11159001003718183), ('19', '21'): np.float64(15.821695613958596), ('20', '7'): np.float64(0.015536462120663203), ('21', '5'): np.float64(16.64316407901016), ('24', '1'): np.float64(0.0031448555336489846)}"
11,57355.468663588676,False,Bound not satisfied,93.92361111111111,"{('1', '12'): np.float64(0.0007393865074787342), ('1', '13'): np.float64(0.0018484382095843481), ('3', '4'): np.float64(0.0008131582389692112), ('3', '9'): np.float64(0.002385624258165374), ('3', '12'): np.float64(0.0008488521965465722), ('3', '13'): np.float64(0.0004244282176157769), ('4', '3'): np.float64(0.0007888428709195805), ('4', '9'): np.float64(0.013573255229626546), ('4', '12'): np.float64(0.16283027789800264), ('4', '13'): np.float64(0.16289943249092587), ('5', '9'): np.float64(0.001272898058272326), ('5', '12'): np.float64(0.05238278109089883), ('5', '13'): np.float64(0.052386177254941435), ('5', '21'): np.float64(0.7713186254010722), ('7', '18'): np.float64(0.011801185162023616), ('9', '3'): np.float64(0.0032992550858670783), ('9', '4'): np.float64(0.017584701137364933), ('9', '5'): np.float64(0.0027875315853699047), ('12', '1'): np.float64(0.0008696866924107443), ('12', '3'): np.float64(0.0009080870945888538), ('12', '4'): np.float64(0.17661802367487045), ('12', '5'): np.float64(0.05678594432018763), ('13', '1'): np.float64(0.0021741871528705567), ('13', '3'): np.float64(0.0004540456702881385), ('13', '4'): np.float64(0.17668245486217393), ('13', '5'): np.float64(0.05678891742290482), ('16', '18'): np.float64(0.08369741056217428), ('18', '7'): np.float64(0.013136126073062526), ('18', '16'): np.float64(0.07736683950755624), ('19', '21'): np.float64(23.432554468360024), ('20', '7'): np.float64(0.016689254408122217), ('21', '5'): np.float64(15.033802554612851), ('21', '19'): np.float64(19.70906709074137), ('22', '24'): np.float64(0.35652763516880626), ('24', '1'): np.float64(0.0018119946329744063)}"
