iteration,gap,bound_satisfied,percentage OD satisfying bound
2,10000000.0,False,92.36111111111111
3,3.851174326762132,False,89.0625
4,1.1134471738957459,False,87.32638888888889
5,0.3185976544310413,False,88.88888888888889
6,0.17653297270077778,False,87.84722222222221
7,0.08549441419729617,False,89.75694444444444
8,0.048976028825652516,False,89.40972222222221
9,0.026253708034830688,False,89.0625
10,0.016452609493667465,False,89.58333333333334
11,0.011478797757554974,False,91.66666666666666
12,0.009836691745908822,False,90.97222222222221
13,0.008577548591970467,False,91.49305555555556
14,0.0074806515767494985,False,91.49305555555556
15,0.006577243724325186,False,93.05555555555556
16,0.005741515056629156,False,93.57638888888889
17,0.00501761723435839,False,96.18055555555556
18,0.0043680928058033005,False,97.56944444444444
19,0.004005215209420826,False,97.74305555555556
20,0.0036716113693290695,False,98.09027777777779
21,0.003360484359121666,False,98.4375
22,0.0030714843459792064,False,98.61111111111111
23,0.002803947578297842,False,98.78472222222221
24,0.002556941041544427,False,98.78472222222221
25,0.002329405452633722,False,98.61111111111111
26,0.002120207211881442,False,99.30555555555556
27,0.0019281903214487413,False,99.47916666666666
28,0.0017522043867329875,False,99.65277777777779
29,0.0015911256543939228,False,99.47916666666666
30,0.0014438697309409696,False,99.65277777777779
31,0.0013093999657725235,False,99.82638888888889
32,0.0011867323014658894,False,99.30555555555556
33,0.0010749378602009816,False,99.13194444444444
34,0.0009731438593636285,False,99.13194444444444
