iteration,gap,bound_satisfied,percentage OD satisfying bound
2,10000000.0,False,90.27777777777779
3,3.851174326762132,False,83.33333333333334
4,1.1134471738957459,False,76.5625
5,0.3185976544310413,False,79.16666666666666
6,0.17653297270077778,False,81.42361111111111
7,0.08549441419729617,False,83.33333333333334
8,0.048976028825652516,False,83.85416666666666
9,0.026253708034830688,False,84.72222222222221
10,0.016452609493667465,False,84.72222222222221
11,0.011478797757554974,False,83.33333333333334
12,0.009836691745908822,False,83.15972222222221
13,0.008577548591970467,False,82.29166666666666
14,0.0074806515767494985,False,81.94444444444444
15,0.006577243724325186,False,82.11805555555556
16,0.005741515056629156,False,82.29166666666666
17,0.00501761723435839,False,82.46527777777779
18,0.0043680928058033005,False,82.8125
19,0.004005215209420826,False,82.46527777777779
20,0.0036716113693290695,False,82.63888888888889
21,0.003360484359121666,False,83.15972222222221
22,0.0030714843459792064,False,83.85416666666666
23,0.002803947578297842,False,84.02777777777779
24,0.002556941041544427,False,83.50694444444444
25,0.002329405452633722,False,82.98611111111111
26,0.002120207211881442,False,83.50694444444444
27,0.0019281903214487413,False,83.50694444444444
28,0.0017522043867329875,False,83.85416666666666
29,0.0015911256543939228,False,84.20138888888889
30,0.0014438697309409696,False,84.72222222222221
31,0.0013093999657725235,False,84.375
32,0.0011867323014658894,False,84.54861111111111
33,0.0010749378602009816,False,84.89583333333334
34,0.0009731438593636285,False,84.20138888888889
35,0.000880533376163373,False,83.68055555555556
36,0.0007963442874269143,False,84.02777777777779
37,0.0007198676347181803,False,84.54861111111111
38,0.0006527294693898192,False,84.89583333333334
39,0.0005922983635817383,False,85.24305555555556
40,0.0005372897158346836,False,85.76388888888889
41,0.00048724084753967777,False,86.11111111111111
42,0.00044172528275048613,False,86.11111111111111
43,0.0004003503460987139,False,86.63194444444444
44,0.00036275487060095723,False,86.80555555555556
45,0.0003286070132762085,False,87.15277777777779
46,0.000297602177730781,False,87.32638888888889
47,0.00026946104322096996,False,87.5
48,0.00024392769961404737,False,87.32638888888889
49,0.00022076788729688432,False,87.32638888888889
50,0.00019976734056573008,False,87.5
51,0.00018073023248079193,False,87.32638888888889
52,0.0001634777186297378,False,89.40972222222221
53,0.00014784657675400738,False,89.58333333333334
54,0.00013368793879337774,False,90.625
55,0.00012086611155915419,False,91.14583333333334
56,0.0001092574820127338,False,91.14583333333334
57,9.874950295456615e-05,False,91.31944444444444
58,8.923975482442733e-05,False,93.22916666666666
59,8.06350792949995e-05,False,93.92361111111111
60,7.28507803451744e-05,False,94.09722222222221
61,6.58098885781414e-05,False,93.92361111111111
62,5.944248464216677e-05,False,93.57638888888889
63,5.368507774504982e-05,False,94.09722222222221
64,4.848003541037585e-05,False,94.09722222222221
65,4.377506078500726e-05,False,93.92361111111111
66,3.952271399129758e-05,False,94.27083333333334
67,3.567997420380745e-05,False,94.27083333333334
