,,Mean,SD,Mean_end,SD_end
9,1,0.8898884867578991,0.0491703378449535,0.9004364176627689,0.0003446361166426994
9,2,0.8879220225117777,0.051590402460516195,0.9000482748241144,0.0003900164774988379
9,3,0.8857322891019013,0.051696947600412685,0.8989835247605232,0.0005230937664687428
9,4,0.8889379488850667,0.050313910590148656,0.9001694187495813,0.000386779436815504
9,5,0.8890156435237816,0.05122567805726677,0.9002851984503217,0.0003736368968134009
9,6,0.8880300769906159,0.06109400575918536,0.9003605222013062,0.00034613437077921707
9,7,0.8913687589283034,0.048591760100190645,0.901283705339157,0.00030519524782502463
9,8,0.8897367466375437,0.04901369828845098,0.9002698738988074,0.0003449385229838213
9,10,0.8899785738017025,0.04913338385971577,0.9005208518684009,0.0003463373602269302
9,11,0.889890343517789,0.04916209383320787,0.9004365514351929,0.00034473046340632586
9,12,0.8899073186483495,0.04916381952234107,0.9004450209466238,0.00034403909412909496
9,13,0.8878537580200203,0.05210792195498657,0.9000545024541006,0.00039541466386755524
9,14,0.8876027159268052,0.056962650671844535,0.9029730577301618,0.00019993336240742464
9,15,0.8882115465756292,0.05091252028872984,0.8998390684227441,0.0004196309098485255
9,16,0.8882115160960642,0.05091323958211625,0.8998390222194109,0.0004195856269657793
9,17,0.8880234856275968,0.05106411500561596,0.8997618688213076,0.000426313733897826
9,18,0.8903287778765399,0.04994658013681691,0.9009221058949025,0.0003421561571426296
9,19,0.8933626412393251,0.038061195445709496,0.9017598488428924,0.00032114628300824435
9,20,0.8890138694263284,0.05123370119225295,0.9002850864814911,0.00037354860024051514
9,21,0.8899206039654408,0.049001918920222085,0.9004449137785094,0.0003466616483987699
9,22,0.8900537270911186,0.04884944842448533,0.900529822733114,0.000345335381662561
9,23,0.8898451268930027,0.04934461962805636,0.9004282816387759,0.0003474220377005149
9,24,0.8858310149987552,0.05463310498486316,0.9002653940363288,0.00047133536393089
9,25,0.8878969700570973,0.051894670451286394,0.9000596992940859,0.0003921966551315511
9,26,0.8891017757265508,0.05223967782284703,0.9008527495170346,0.0003810437715685056
9,27,0.8921752934803782,0.06537303358186307,0.903421001138176,0.00013738179027008283
9,28,0.8878774712151903,0.0516990076406911,0.9000124479418277,0.0004017853136256975
9,29,0.8898899972603206,0.04916313504842142,0.9004365114337343,0.00034472557649428904
9,30,0.8906972511466544,0.04852369056251906,0.9010329321550166,0.00034204763196996665
9,31,0.8857102135505395,0.06445323530920564,0.9035756166550536,0.00020548346721423687
9,32,0.889129612954383,0.06006285962198214,0.9026958737568637,0.00020761183853519136
9,33,0.8900791593921642,0.049139010709833585,0.900620686723923,0.00034766466938156485
9,34,0.8909158483244176,0.046854347646521376,0.9009909199740381,0.000342551057593209
9,35,0.89027511673333,0.048446476048679875,0.900639871603981,0.0003433754062747526
9,36,0.8898784131200045,0.049067104738126505,0.9004013994309357,0.0003452005893545473
9,37,0.8898083100665359,0.04946310786556498,0.9004297444484847,0.0003482619939152337
9,38,0.8898361110081836,0.04935805857887646,0.9004228755486352,0.00034766860715497786
32,1,0.8870501010614705,0.05542910170250528,0.8991727055729403,0.0005464982731230312
32,2,0.8873811841305443,0.06317507638049777,0.9012616690516329,0.0002727428007387193
32,3,0.8893310516070027,0.060420203928395116,0.900640454931729,0.00029548690063366137
32,4,0.8898793493183597,0.04944243069305085,0.9004941882366718,0.0003476179590560482
32,5,0.8895771350790657,0.05002817765585673,0.900261539935656,0.0003418254497742464
32,6,0.888041353206575,0.05835201853118501,0.9000094224540941,0.0003410069494150297
32,7,0.8880488117049351,0.05691770175684783,0.9006919090560827,0.00041085348014227786
32,8,0.8890650234710771,0.05038065127852211,0.900121832355258,0.0004008527178662451
32,9,0.8885504481505041,0.055353579089312197,0.9003450594842428,0.0003642824856710122
32,10,0.8923545096358261,0.04426143761090928,0.9015258918032817,0.00030310949306304897
32,11,0.8887793382861526,0.05409916587853552,0.9012886389191582,0.000378928486215967
32,12,0.889329005846593,0.0735879272625655,0.9009388471596541,0.00023553138906667976
32,13,0.886228219752316,0.06680422862676343,0.9004217462844878,0.00029337160334467116
32,14,0.8929017217890238,0.05261478651864755,0.901776482423462,0.00024015200358633323
32,15,0.8903954815778712,0.06124752160580372,0.9023913775799979,0.00021246108686561068
32,16,0.8898860729531546,0.04936076647877284,0.9004761531811059,0.0003476974975474516
32,17,0.8898832904574925,0.04943650028414638,0.9004940099041145,0.0003478310928319307
32,18,0.8902801116241865,0.048468776581236286,0.9006462443899532,0.00034090825133531466
32,19,0.8890927325016922,0.04946022982043699,0.8998932300295007,0.00036257991027335547
32,20,0.8895767499237555,0.05003082584386741,0.9002615157278422,0.000341808081192621
32,21,0.8897080889101951,0.049687080772163175,0.9003350644630272,0.0003427339701947269
32,22,0.8899178106778746,0.04926101122979464,0.9004841342897707,0.00034728109820254637
32,23,0.8890287642810776,0.05061555819130875,0.8999144669500174,0.0003473988615088739
32,24,0.89330318176665,0.052676753438603084,0.9020172363533754,0.00022200341836067468
32,25,0.8956848586110733,0.03578642007602662,0.901459677345546,0.00024577061921624385
32,26,0.8896965056679284,0.07470540872495639,0.9009705813636754,0.00024080240319942052
32,27,0.891253322590871,0.04976025872075111,0.9010156561527396,0.00029379183861632716
32,28,0.8968158873839075,0.03195811985390293,0.9014557087109628,0.00024431835845496963
32,29,0.895798321481873,0.032495962036123816,0.9021230103495835,0.0002605649111719726
32,30,0.8888823719354181,0.049502041503812995,0.899712228660648,0.00036204448376278044
32,31,0.8913351198762426,0.046829854238596466,0.9011901260157187,0.00032588595927745433
32,33,0.8933356904216918,0.04135112757023085,0.9018036136977127,0.0002881268446010592
32,34,0.8897563096925662,0.049535607468115965,0.9003524648858828,0.00034289266961563813
32,35,0.8876966532016497,0.05977838324106311,0.9005557144307222,0.0003880103919973032
32,36,0.8883735498802469,0.05578196684105854,0.9002862360165387,0.00036772073661859347
32,37,0.8894962974763517,0.05012914236051144,0.9002124550472683,0.00034322353056660484
32,38,0.8890491672743066,0.05062903033665878,0.8999276544419565,0.0003457541774800575
14,1,0.891634503843219,0.05015623304766267,0.9009856926742701,0.00023509375021987672
14,2,0.8988131215448244,0.1463084732567854,0.8984830867477862,0.0003578933190224601
14,3,0.8869455248812493,0.050302912458301464,0.8987420232533689,0.00038938278883857375
14,4,0.8877459377086647,0.05359227322788013,0.8992545054996672,0.0003806039956562253
14,5,0.8887109889292358,0.049450319376978843,0.8996391434984935,0.00037359001176096376
14,6,0.8880417571085392,0.0550943260009261,0.9004301353287074,0.000377091075541696
14,7,0.8893467071224872,0.047633210550847634,0.8995933025286804,0.00035941093207456315
14,8,0.8905435847148402,0.052050185477905846,0.9008185974173698,0.00026641966859173845
14,9,0.8890679131347283,0.05338832222040993,0.9004054862578957,0.0003060148380578188
14,10,0.8920385783567909,0.049881306570507294,0.9012200406921567,0.0002123031381586569
14,11,0.8906179934489972,0.049675691607573506,0.9007404211148682,0.00028429612384221395
14,12,0.8915192346213721,0.04469912587120544,0.9007696518195684,0.0002961038745812896
14,13,0.8918462078770354,0.044223753522493976,0.9008581624458963,0.0002907840992448845
14,15,0.8869154100684015,0.04522437111075087,0.9002832991821365,0.0005792751612745733
14,16,0.8906676383511468,0.03549842187533677,0.9001365866808411,0.0003844709272039532
14,17,0.8905096699125655,0.04193401957656373,0.8999005593168187,0.00035106556461070667
14,18,0.889566757708152,0.04860147880439735,0.9003321218899475,0.00036917983284380057
14,19,0.8887112620681638,0.049449443922706234,0.8996391757007869,0.0003736170716053544
14,20,0.8887112876771691,0.04944936183739983,0.8996391787177132,0.00037361960013458255
14,21,0.8890587764687405,0.048468079787614825,0.9001190391187847,0.00038157266286517
14,22,0.8917096473173348,0.051535864435567263,0.9024240652343058,0.00027336085013624964
14,23,0.8901469851314804,0.05632107718381948,0.901016830858377,0.0002608876176847833
14,24,0.8901507443493247,0.04445838857174678,0.9003997687416927,0.0003338332632517488
14,25,0.8886798728478015,0.04864358649506273,0.9002229007752262,0.0004156358755919897
14,26,0.8916587546896516,0.044747157432643445,0.9008219025274642,0.00028852928797979815
14,27,0.8903434938604766,0.04940567924582684,0.9009087027048759,0.0003402581777318207
14,28,0.8900707237789449,0.049582240032445664,0.9007738950032433,0.0003557703748171146
14,29,0.8906331550922275,0.04969623054967804,0.9007480846969395,0.0002826970509121272
14,30,0.8892151654078718,0.049271518823218334,0.9000023771179909,0.00036133538051077394
14,31,0.8917485668773864,0.052088122542896236,0.9024394400643411,0.0002611252117281622
14,32,0.8917577788911925,0.04667619346648697,0.9014674454041323,0.00030477624851845607
14,33,0.8920385506925554,0.049881409546390906,0.9012200504509044,0.00021230752834805184
14,34,0.8898358670488893,0.04901021575896141,0.9004038596191108,0.0003478440239990165
14,35,0.8888361518029668,0.05608971987841779,0.9009207911837006,0.0003599371875109601
14,36,0.8889904068456891,0.054100144380238684,0.9004200608643258,0.000308037368332412
14,37,0.8935197903977624,0.044398117145104526,0.9018516960164846,0.0002158678690287404
14,38,0.8912571388178461,0.05016535912780465,0.9015769958009386,0.0003001489230408497
15,1,0.8893430935247116,0.051041390609036355,0.9001338089817361,0.00034559484571736415
15,2,0.8842343801915782,0.057309291591347206,0.8958907141301112,0.0006623980343384114
15,3,0.8940852036133526,0.033859055152610756,0.9006389384485314,0.00026885725090942296
15,4,0.8849328982870349,0.05376122050714849,0.8985001847576001,0.0005816721042215838
15,5,0.88911793715904,0.04645046422387283,0.8996503532408194,0.00038444186305434583
15,6,0.8905695821367015,0.04544269132768465,0.8999244197515708,0.00031133202157095557
15,7,0.8892763572727507,0.04927451272119374,0.8999306416838617,0.00034735708482879884
15,8,0.8895699840117198,0.049341565426292776,0.9001569542882949,0.0003463015933269544
15,9,0.8866291463248421,0.05767637131903722,0.8994749946392199,0.000432557158731138
