,,Mean,SD,Mean_end,SD_end
9,1,0.8886648428876659,0.05042030002189787,0.9008332893581132,0.00017854921549676078
9,2,0.887665992189474,0.04549069284356514,0.9007103084779141,0.0003662276733396932
9,3,0.8874074218028697,0.05470852886437379,0.9005064137467051,0.0002998058951686935
9,4,0.887442699470139,0.054560028959840794,0.9005137656512685,0.0002997726664895814
9,5,0.8874378473722856,0.05456727441182386,0.9005094162005989,0.0002996937039200104
9,6,0.8875002028724834,0.05479649985682684,0.9005803425809475,0.00029561338628849584
9,7,0.8874421878061146,0.05456897986388462,0.9005147807345659,0.0002998023804860385
9,8,0.8847772102421552,0.0544873931528398,0.8978426080743892,0.0003136551638474189
9,10,0.8874412564645039,0.05456963816542623,0.9005139659162053,0.000299785113482876
9,11,0.8874391875901113,0.05457654702757427,0.9005131972234366,0.00029977880713623974
9,12,0.8874412134890171,0.054569729761943575,0.9005139401347932,0.00029978481403489753
9,13,0.8898753443065495,0.06608352939905662,0.9038742623856255,0.00029896191159335184
9,14,0.8874412882215932,0.05456949692433867,0.9005139688215215,0.00029978528413649824
9,15,0.8874419974929385,0.05456911500777652,0.900514614512708,0.0002997990448122868
9,16,0.9287841448398644,0.09683083078815814,0.8984359337496066,0.00023940845940002652
9,17,0.8874355460388809,0.054567099623630336,0.9005069166390411,0.0002998276417104714
9,18,0.8874259884196801,0.05465136922000018,0.9005131298839905,0.0002997716923016533
9,19,0.8913503236283677,0.08673226538098514,0.9007941295990726,0.00024555341352647253
9,20,0.8874410802168273,0.05456949064961019,0.9005137320456665,0.00029978061699460984
9,21,0.8872556073694008,0.0535080414396149,0.9009840960647045,0.00019566809929866274
9,22,0.8874484429710368,0.05456427546733501,0.9005196016459589,0.00029982953425581054
9,23,0.8874434474550766,0.05455739865511498,0.9005141343958994,0.00029978489229270943
9,24,0.8874205873337366,0.05448938743956996,0.9004714483380727,0.00029964238887998467
9,25,0.8874020477199086,0.05453487999249071,0.9005111283962737,0.00030004211952886173
9,26,0.8873775693069755,0.0547799378887731,0.9004958484579767,0.00029793041197548326
9,27,0.8874421872381101,0.05456989377075591,0.9005150447104653,0.00029980299936369217
9,28,0.8863659183584681,0.05652720421512841,0.9013296028138514,0.00046276852497599026
9,29,0.8874403555560426,0.05456987367531307,0.9005130874152961,0.0002997629817597008
9,30,0.8874411877586951,0.054569587519312984,0.9005138808216872,0.000299780834043424
